bidder_id,auctions_participated,avg_bid_price,median_bid_price,bid_price_std,min_bid,max_bid,wins,withdrawals,win_rate,withdrawal_rate
1,11,4297.0457453445815,4289.608896628,177.53910706816828,3960.6932361467225,4640.72932966898,0,0,0.0,0.0
2,10,3809.859714627272,3689.7492085505974,347.5188390024879,3389.408007016961,4539.25443391072,2,0,0.2,0.0
3,8,3705.1746151875723,3686.6262260785807,255.99787747235197,3389.408007016961,4213.808541841006,0,1,0.0,0.08
4,8,3695.1646005559082,3640.8724097029944,277.9321582776572,3359.701152980851,4204.744331110894,0,0,0.0,0.0
5,13,4925.825861858824,4749.255078016743,472.3251278782822,4474.113085999613,6161.412559960138,1,0,0.07692307692307693,0.0
6,15,4423.020984171294,4404.664036973778,623.9881840115044,3630.749456700851,5541.944445419468,2,0,0.13333333333333333,0.0
7,15,4124.382790208481,3967.1599868296025,460.20062896981506,3598.194767573572,5267.785651980504,1,3,0.06666666666666667,0.24
8,15,4433.014155718496,4308.113360038326,719.998393431754,3564.4337456381104,6161.412559960138,0,1,0.0,0.08
9,15,5434.505993876124,5161.438881755639,950.3856747495437,4368.988951418528,7526.107689251683,3,1,0.2,0.08
10,10,5028.699864849048,5035.349426325032,1221.6920620480282,3391.838369470725,7377.148477637834,0,0,0.0,0.0
11,16,5070.7263620708545,5029.513490078796,1155.8927809519162,3642.109246219694,8365.43364965295,1,1,0.0625,0.08
12,17,4896.882868528192,5050.297132889578,993.5168200623101,3389.408007016961,6381.797981888086,1,2,0.058823529411764705,0.16
13,8,5204.34918441229,4815.147242307795,1516.533238439115,3733.5909787848686,8365.43364965295,0,1,0.0,0.08
14,16,6189.311209659415,5284.35597395243,1784.554622290264,4319.285827405562,10361.66569149369,4,1,0.25,0.08
15,5,6282.173313214902,5877.6854422544775,864.76404552747,5363.770278709608,7446.148297905367,0,0,0.0,0.0
16,16,5315.558663945441,5305.130703626319,1729.9185011735299,3359.701152980851,10361.66569149369,0,2,0.0,0.16
17,17,5430.303526947699,5327.063641346857,1373.5464460003461,3467.4976973639473,9510.92891177613,1,0,0.058823529411764705,0.0
18,8,5677.594890101316,5699.171290071291,1805.6492755256363,3733.5909787848686,9510.92891177613,0,0,0.0,0.0
19,11,6798.386187017813,6280.463366771549,2116.8591352878143,3951.4780339563413,11427.956058873082,3,0,0.2727272727272727,0.0
20,11,5340.537219579105,4840.202223581281,1884.4411442517808,3564.4337456381104,9510.92891177613,0,1,0.0,0.08
21,9,6151.050028369534,6057.898070187125,1491.57422797212,3717.2483715517715,8427.896232521365,2,1,0.2222222222222222,0.08
22,14,7120.372977128396,7094.489493230722,1964.7037781068784,3833.421298225774,10731.563037651653,6,1,0.42857142857142855,0.08
23,19,5325.5952319771695,5260.55642908735,1478.8523203909422,3510.1215558501813,9054.286949901103,1,2,0.05263157894736842,0.16
24,13,6441.188935457399,6047.760587637057,2117.63946626328,3568.766333696999,11427.956058873082,0,0,0.0,0.0
25,11,6339.43054720532,5773.151949040007,2492.8470736248023,3510.1215558501813,11427.956058873082,1,0,0.09090909090909091,0.0
26,13,6435.5689422065225,5773.151949040007,2159.7330910870683,3568.766333696999,9801.040343109753,0,0,0.0,0.0
27,15,7385.262715677269,7015.676027174365,2086.915895273812,4159.863235270371,11821.880396238423,8,3,0.5333333333333333,0.24
28,17,6192.838562147427,5768.827412156868,2420.828526499613,3733.1861385413804,10731.563037651653,1,2,0.058823529411764705,0.16
29,9,7076.3576241468245,7284.345583207007,2479.3089206650993,3972.9001322566905,10164.220471201737,6,1,0.6666666666666666,0.08
30,8,5370.370906681095,5298.518299829833,1105.443839538339,3869.4374709656568,7102.187482138406,6,1,0.75,0.08
